model_type,variant,class_weight_strategy,stat,n_runs,n_features,n_train,n_val,val_acc_mean,val_acc_run_std,val_f1_macro_mean,val_f1_macro_run_std,cv_acc_mean,cv_acc_fold_std,cv_acc_run_std,cv_f1_macro_mean,cv_f1_macro_fold_std,cv_f1_macro_run_std
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,CORNERS,2,249,1444,362,0.64365,0.008250000000000035,0.41335,0.003250000000000003,0.6055,0.02715,0.0019000000000000128,0.4062,0.0122,0.008599999999999997
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,FOULS,2,249,1444,362,0.5387,0.013799999999999979,0.41745,0.0021499999999999853,0.48724999999999996,0.0177,0.0027500000000000024,0.37255000000000005,0.017750000000000002,0.014350000000000002
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,GOALS,2,249,1444,362,0.57735,0.01655000000000001,0.47485,0.00545000000000001,0.5591999999999999,0.019950000000000002,0.00830000000000003,0.49005,0.019549999999999998,0.004750000000000004
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,OFFSIDES,2,249,1444,362,0.471,0.017999999999999988,0.462,0.016600000000000004,0.4718,0.01535,0.008300000000000002,0.46855,0.0141,0.006650000000000017
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,REDCARDS,2,249,1444,362,0.76105,0.0013499999999999623,0.34504999999999997,0.005750000000000005,0.81315,0.021150000000000002,0.01635000000000003,0.3408,0.0159,0.02260000000000001
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,SHOTS_ON_TARGET,2,249,1444,362,0.6408499999999999,0.0027499999999999747,0.4805,0.006000000000000005,0.64395,0.0207,0.00275000000000003,0.4672,0.02805,0.0020999999999999908
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,YELLOWCARDS,2,249,1444,362,0.44065,0.017949999999999994,0.38825,4.999999999999449e-05,0.43245,0.009,0.00385000000000002,0.39035,0.01285,0.005449999999999983
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,CORNERS,2,249,1444,362,0.5814999999999999,0.009699999999999986,0.44320000000000004,0.0003999999999999837,0.5836,0.0138,0.007199999999999984,0.4249,0.015050000000000001,0.0016999999999999793
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,FOULS,2,249,1444,362,0.52765,0.011050000000000004,0.43815000000000004,0.01294999999999999,0.46875,0.029249999999999998,0.011350000000000027,0.4052,0.020450000000000003,0.007099999999999995
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,GOALS,2,249,1444,362,0.5621499999999999,0.012450000000000017,0.48160000000000003,0.0003999999999999837,0.5708500000000001,0.026099999999999998,0.0027499999999999747,0.4995,0.0254,0.014400000000000024
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,OFFSIDES,2,249,1444,362,0.48340000000000005,0.008300000000000002,0.4772,0.005599999999999994,0.4698,0.0157,0.008599999999999997,0.4678,0.0149,0.007800000000000001
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,REDCARDS,2,249,1444,362,0.79555,0.03315000000000001,0.34395,0.0019499999999999795,0.7497,0.05185000000000001,0.011099999999999999,0.36995,0.01375,0.020950000000000024
