model_type,variant,class_weight_strategy,stat,rank,cv_f1_macro_mean,cv_f1_macro_run_std,cv_f1_macro_fold_std,val_f1_macro_mean,val_f1_macro_run_std,n_runs
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,CORNERS,1,0.4371,0.0022999999999999,0.0161,0.44035,0.0025499999999999,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,CORNERS,2,0.43295,0.00345,0.0169,0.43825,0.0098499999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,CORNERS,3,0.43025,0.0049499999999999,0.01125,0.45265,0.01915,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,FOULS,1,0.4268,0.0010999999999999,0.0206,0.4236499999999999,0.00775,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,FOULS,2,0.41575,0.00235,0.03315,0.4633,0.0054,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,FOULS,3,0.4114,0.0022999999999999,0.0265,0.4599,0.0017999999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,GOALS,1,0.4995,0.0144,0.0254,0.4816,0.0003999999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,GOALS,2,0.4963,0.0045,0.02435,0.4991,0.0005999999999999,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,GOALS,3,0.4962,0.0060999999999999,0.01915,0.48955,0.00415,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,OFFSIDES,1,0.4916,0.0012,0.0135,0.47275,0.0031499999999999,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,OFFSIDES,2,0.4863,0.0010999999999999,0.01385,0.45035,0.0261499999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,OFFSIDES,3,0.48435,0.00345,0.01185,0.48365,0.00675,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,REDCARDS,1,0.36995,0.02095,0.01375,0.34395,0.0019499999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,REDCARDS,2,0.3553,0.0131,0.01585,0.37,0.0005999999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,REDCARDS,3,0.35155,0.02385,0.01405,0.349,0.0341999999999999,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,SHOTS_ON_TARGET,1,0.4837,0.0017999999999999,0.0293,0.4942,0.0028999999999999,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,SHOTS_ON_TARGET,1,0.4837,0.0021,0.01495,0.4676,0.0022999999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,SHOTS_ON_TARGET,3,0.47875,0.0068499999999999,0.0258,0.46355,0.01525,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,YELLOWCARDS,1,0.3917,0.0090999999999999,0.0147,0.4112,0.0068,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,YELLOWCARDS,2,0.39035,0.0054499999999999,0.01285,0.38825,4.999999999999449e-05,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,YELLOWCARDS,3,0.3854,0.0050999999999999,0.02305,0.4243,0.0153,2
