target,rank,model_type,variant,cv_rmse,cv_rmse_run_std,cv_rmse_fold_std,cv_mae,cv_mae_run_std,cv_rmse_pct,cv_mae_pct,val_rmse,val_mae,n_runs
HOME_GOALS,1,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,1.2824695,0.0003315,0.0565849999999999,1.0080815,0.0039784999999999,77.88,61.215,1.3120585,1.024448,2
HOME_GOALS,2,mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,1.286869,0.00095,0.0578594999999999,1.0088430000000002,0.0016239999999999,78.28,61.370000000000005,1.315262,1.022879,2
HOME_GOALS,3,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,1.29207,0.0,0.057396,1.008178,0.0,78.46,61.22,1.310466,1.028195,1
AWAY_GOALS,1,xgb,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,1.1775345000000002,8.050000000003887e-05,0.0655755,0.918557,0.0001129999999999,92.345,72.03,1.037988,0.822632,2
AWAY_GOALS,2,xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,1.178546,0.0,0.064481,0.905053,0.0,92.42,70.97,1.037785,0.811028,1
AWAY_GOALS,3,xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,1.179093,0.0104729999999999,0.0670885,0.917895,0.007697,92.465,71.97999999999999,1.040175,0.8182885,2
HOME_CORNERS,1,mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,2.9620015000000004,0.0092725,0.109987,2.358215,0.0056669999999998,55.305,44.025000000000006,3.1041695,2.492755,2
HOME_CORNERS,2,mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,2.9622275,0.0099445,0.0925835,2.3581695,0.0108814999999999,55.305,44.03,3.0694175,2.46059,2
HOME_CORNERS,3,mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,2.9626945,0.0005334999999999,0.1129064999999999,2.3645685,0.0013944999999999,55.32,44.145,3.077639,2.4761935,2
AWAY_CORNERS,1,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,2.576275,0.0,0.052036,1.989209,0.0,62.15,47.99,2.475012,1.949757,1
AWAY_CORNERS,2,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,2.5767075,0.0084385,0.06094,1.99375,0.0060239999999999,62.155,48.095,2.4954455,1.955251,2
AWAY_CORNERS,3,mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,2.5817555,0.0044695000000001,0.0630339999999999,1.999792,0.001922,62.88,48.705,2.4863095,1.9509785,2
HOME_YELLOWCARDS,1,lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,1.3298965,0.0007924999999999,0.05175,1.0639310000000002,0.001278,70.00999999999999,56.01,1.303925,1.0579285,2
HOME_YELLOWCARDS,2,xgb,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,1.33244,0.002981,0.0410785,1.0669244999999998,0.0019704999999999,70.095,56.125,1.2811295,1.033656,2
HOME_YELLOWCARDS,3,xgb,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,1.3380085,0.0077524999999999,0.0396195,1.0744225,0.0089354999999999,70.39,56.52,1.290734,1.040951,2
AWAY_YELLOWCARDS,1,xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,1.43054,0.0,0.044669,1.14062,0.0,66.78,53.24,1.532826,1.217239,1
AWAY_YELLOWCARDS,2,xgb,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,1.430841,0.000429,0.0417315,1.141041,0.0004199999999999,66.78999999999999,53.260000000000005,1.5175025,1.1978665,2
AWAY_YELLOWCARDS,3,xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,1.4326065,0.0017085,0.041565,1.140533,0.0014769999999999,66.87,53.24,1.528304,1.2120815,2
HOME_SHOTS_ON_TARGET,1,xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,2.609374,0.0,0.098043,2.075562,0.0,51.45,40.92,2.649532,2.135887,1
HOME_SHOTS_ON_TARGET,2,xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,2.6128045,0.0007854999999998,0.0917205,2.074894,0.0007619999999999,51.515,40.905,2.6539355,2.1349915,2
HOME_SHOTS_ON_TARGET,3,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,2.621149,0.007587,0.1031219999999999,2.0753065,0.0096074999999999,51.91,41.1,2.671018,2.1538975,2
AWAY_SHOTS_ON_TARGET,1,xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,2.3608505,0.0050545000000001,0.1416045,1.838317,0.00456,60.89,47.415,2.2222375,1.7827715,2
AWAY_SHOTS_ON_TARGET,2,xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,2.364451,0.0,0.140833,1.842996,0.0,60.99,47.54,2.22646,1.782945,1
AWAY_SHOTS_ON_TARGET,3,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,2.375029,0.0,0.138445,1.850489,0.0,60.2,46.9,2.200037,1.756513,1
HOME_FOULS,1,xgb,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,4.058768499999999,0.0017334999999998,0.132815,3.1598725,9.049999999999336e-05,34.825,27.11,3.8368735,3.102518,2
HOME_FOULS,2,xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,4.064115,0.0005040000000002,0.13034,3.1616545,0.0084705,34.87,27.125,3.828962,3.0957935,2
HOME_FOULS,3,xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,4.074454,0.0,0.133472,3.177645,0.0,34.96,27.26,3.831128,3.097965,1
AWAY_FOULS,1,xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,4.351381,0.0031400000000001,0.0679785,3.3920885,0.0051704999999999,37.145,28.955,4.4354785,3.504713,2
AWAY_FOULS,2,xgb,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,4.364033,0.0135180000000003,0.0625955,3.3998895,0.0144025,37.255,29.025,4.431328499999999,3.500465,2
AWAY_FOULS,3,xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,4.366076,0.0,0.072482,3.394981,0.0,37.27,28.98,4.436084,3.510477,1
HOME_OFFSIDES,1,xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,1.605168,0.0,0.101086,1.208922,0.0,83.12,62.6,1.622477,1.235254,1
HOME_OFFSIDES,2,xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,1.6069179999999998,0.0004009999999999,0.1063445,1.20889,0.0005349999999999,83.21000000000001,62.6,1.6233185,1.2317955,2
HOME_OFFSIDES,3,xgb,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,1.6093915,0.0021434999999999,0.1088795,1.2159810000000002,0.0023119999999999,83.34,62.97,1.6188215,1.2312189999999998,2
AWAY_OFFSIDES,1,xgb,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,1.45228,0.000383,0.0360275,1.111379,0.0009499999999998,83.66,64.025,1.482307,1.1377525,2
AWAY_OFFSIDES,2,xgb,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,1.4579650000000002,0.0039259999999999,0.0398995,1.115063,0.002144,83.985,64.235,1.4807295,1.13574,2
AWAY_OFFSIDES,3,xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,1.458994,0.0,0.036491,1.111994,0.0,84.04,64.06,1.485963,1.135907,1
HOME_REDCARDS,1,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,0.269441,0.0,0.013145,0.118267,0.0,353.7,155.25,0.274275,0.122113,1
HOME_REDCARDS,2,xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,0.270822,0.0,0.015484,0.142035,0.0,349.36,183.22,0.275235,0.145462,1
HOME_REDCARDS,3,xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,0.271092,0.0001209999999999,0.015702,0.143142,0.0001179999999999,349.71000000000004,184.655,0.2749,0.1468545,2
AWAY_REDCARDS,1,xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,0.3207375,9.499999999995625e-06,0.025445,0.177317,0.0045459999999999,314.81,174.04000000000002,0.3151315,0.1611075,2
AWAY_REDCARDS,2,xgb,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,0.320968,0.000156,0.0254065,0.180338,0.001316,315.035,177.005,0.3154345,0.1617819999999999,2
AWAY_REDCARDS,3,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,0.321117,0.0,0.025234,0.180812,0.0,303.07,170.65,0.319515,0.135518,1
