model_type,variant,class_weight_strategy,stat,rank,cv_f1_macro_mean,cv_f1_macro_run_std,cv_f1_macro_fold_std,val_f1_macro_mean,val_f1_macro_run_std,n_runs
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,GOALS,1,0.4995,0.0144,0.0254,0.4816,0.0003999999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,GOALS,2,0.4963,0.0045,0.02435,0.4991,0.0005999999999999,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,GOALS,3,0.4962,0.0060999999999999,0.01915,0.48955,0.00415,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,GOALS,4,0.49405,0.00655,0.0252,0.5064,0.0067,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,GOALS,4,0.49405,0.0016499999999999,0.0223,0.52415,0.00295,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,GOALS,6,0.494,0.003,0.0217,0.4911,0.0068999999999999,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,GOALS,7,0.4911,0.0057,0.02495,0.46925,0.0061499999999999,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,GOALS,8,0.49005,0.00475,0.0195499999999999,0.47485,0.00545,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,GOALS,9,0.48685,0.01185,0.0331,0.4977,0.0071,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,GOALS,10,0.48605,0.0045499999999999,0.01795,0.49175,0.00675,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,GOALS,11,0.48305,0.00705,0.0217,0.4831,0.0083999999999999,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,GOALS,12,0.47315,0.00905,0.02995,0.4655,0.0123,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,GOALS,13,0.4680999999999999,0.0002999999999999,0.01465,0.4664,0.0002999999999999,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,GOALS,14,0.4671499999999999,0.00175,0.01865,0.4972499999999999,0.00475,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,GOALS,15,0.46665,0.00225,0.0284999999999999,0.51985,0.0031499999999999,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,GOALS,16,0.46515,0.01255,0.0203,0.5243500000000001,0.01765,2
