season_label,fixture_id,fixture_ts,home_team_id,away_team_id,gk_home_player_id,GK_HOME_GOALS_CONCEDED,df1_home_player_id,DF1_HOME_GOALS_CONCEDED,DF1_HOME_MINUTES_PLAYED,DF1_HOME_APPEARANCES,df2_home_player_id,DF2_HOME_GOALS_CONCEDED,DF2_HOME_MINUTES_PLAYED,DF2_HOME_APPEARANCES,df3_home_player_id,DF3_HOME_GOALS_CONCEDED,DF3_HOME_MINUTES_PLAYED,DF3_HOME_APPEARANCES,df4_home_player_id,DF4_HOME_GOALS_CONCEDED,DF4_HOME_MINUTES_PLAYED,DF4_HOME_APPEARANCES,df5_home_player_id,DF5_HOME_GOALS_CONCEDED,DF5_HOME_MINUTES_PLAYED,DF5_HOME_APPEARANCES,df6_home_player_id,DF6_HOME_GOALS_CONCEDED,DF6_HOME_MINUTES_PLAYED,DF6_HOME_APPEARANCES,NO_OF_DF_HOME,mf1_home_player_id,MF1_HOME_GOALS_CONCEDED,MF1_HOME_MINUTES_PLAYED,MF1_HOME_APPEARANCES,mf2_home_player_id,MF2_HOME_GOALS_CONCEDED,MF2_HOME_MINUTES_PLAYED,MF2_HOME_APPEARANCES,mf3_home_player_id,MF3_HOME_GOALS_CONCEDED,MF3_HOME_MINUTES_PLAYED,MF3_HOME_APPEARANCES,mf4_home_player_id,MF4_HOME_GOALS_CONCEDED,MF4_HOME_MINUTES_PLAYED,MF4_HOME_APPEARANCES,mf5_home_player_id,MF5_HOME_GOALS_CONCEDED,MF5_HOME_MINUTES_PLAYED,MF5_HOME_APPEARANCES,mf6_home_player_id,MF6_HOME_GOALS_CONCEDED,MF6_HOME_MINUTES_PLAYED,MF6_HOME_APPEARANCES,NO_OF_MF_HOME,atk1_home_player_id,ATK1_HOME_MINUTES_PLAYED,ATK1_HOME_APPEARANCES,ATK1_HOME_GOALS_CONCEDED,ATK1_HOME_SUBSTITUTIONS_IN,ATK1_HOME_SUBSTITUTIONS_OUT,atk2_home_player_id,ATK2_HOME_MINUTES_PLAYED,ATK2_HOME_APPEARANCES,ATK2_HOME_GOALS_CONCEDED,ATK2_HOME_SUBSTITUTIONS_IN,ATK2_HOME_SUBSTITUTIONS_OUT,atk3_home_player_id,ATK3_HOME_MINUTES_PLAYED,ATK3_HOME_APPEARANCES,ATK3_HOME_GOALS_CONCEDED,ATK3_HOME_SUBSTITUTIONS_IN,ATK3_HOME_SUBSTITUTIONS_OUT,atk4_home_player_id,ATK4_HOME_MINUTES_PLAYED,ATK4_HOME_APPEARANCES,ATK4_HOME_GOALS_CONCEDED,ATK4_HOME_SUBSTITUTIONS_IN,ATK4_HOME_SUBSTITUTIONS_OUT,NO_OF_ATK_HOME,gk_away_player_id,GK_AWAY_GOALS_CONCEDED,df1_away_player_id,DF1_AWAY_GOALS_CONCEDED,DF1_AWAY_MINUTES_PLAYED,DF1_AWAY_APPEARANCES,df2_away_player_id,DF2_AWAY_GOALS_CONCEDED,DF2_AWAY_MINUTES_PLAYED,DF2_AWAY_APPEARANCES,df3_away_player_id,DF3_AWAY_GOALS_CONCEDED,DF3_AWAY_MINUTES_PLAYED,DF3_AWAY_APPEARANCES,df4_away_player_id,DF4_AWAY_GOALS_CONCEDED,DF4_AWAY_MINUTES_PLAYED,DF4_AWAY_APPEARANCES,df5_away_player_id,DF5_AWAY_GOALS_CONCEDED,DF5_AWAY_MINUTES_PLAYED,DF5_AWAY_APPEARANCES,df6_away_player_id,DF6_AWAY_GOALS_CONCEDED,DF6_AWAY_MINUTES_PLAYED,DF6_AWAY_APPEARANCES,NO_OF_DF_AWAY,mf1_away_player_id,MF1_AWAY_GOALS_CONCEDED,MF1_AWAY_MINUTES_PLAYED,MF1_AWAY_APPEARANCES,mf2_away_player_id,MF2_AWAY_GOALS_CONCEDED,MF2_AWAY_MINUTES_PLAYED,MF2_AWAY_APPEARANCES,mf3_away_player_id,MF3_AWAY_GOALS_CONCEDED,MF3_AWAY_MINUTES_PLAYED,MF3_AWAY_APPEARANCES,mf4_away_player_id,MF4_AWAY_GOALS_CONCEDED,MF4_AWAY_MINUTES_PLAYED,MF4_AWAY_APPEARANCES,mf5_away_player_id,MF5_AWAY_GOALS_CONCEDED,MF5_AWAY_MINUTES_PLAYED,MF5_AWAY_APPEARANCES,mf6_away_player_id,MF6_AWAY_GOALS_CONCEDED,MF6_AWAY_MINUTES_PLAYED,MF6_AWAY_APPEARANCES,NO_OF_MF_AWAY,atk1_away_player_id,ATK1_AWAY_MINUTES_PLAYED,ATK1_AWAY_APPEARANCES,ATK1_AWAY_GOALS_CONCEDED,ATK1_AWAY_SUBSTITUTIONS_IN,ATK1_AWAY_SUBSTITUTIONS_OUT,atk2_away_player_id,ATK2_AWAY_MINUTES_PLAYED,ATK2_AWAY_APPEARANCES,ATK2_AWAY_GOALS_CONCEDED,ATK2_AWAY_SUBSTITUTIONS_IN,ATK2_AWAY_SUBSTITUTIONS_OUT,atk3_away_player_id,ATK3_AWAY_MINUTES_PLAYED,ATK3_AWAY_APPEARANCES,ATK3_AWAY_GOALS_CONCEDED,ATK3_AWAY_SUBSTITUTIONS_IN,ATK3_AWAY_SUBSTITUTIONS_OUT,atk4_away_player_id,ATK4_AWAY_MINUTES_PLAYED,ATK4_AWAY_APPEARANCES,ATK4_AWAY_GOALS_CONCEDED,ATK4_AWAY_SUBSTITUTIONS_IN,ATK4_AWAY_SUBSTITUTIONS_OUT,NO_OF_ATK_AWAY,HOME_FORM_GOALS_FOR,HOME_FORM_CORNERS_FOR,HOME_FORM_YELLOWCARDS_FOR,HOME_FORM_SHOTS_ON_TARGET_FOR,HOME_FORM_FOULS_FOR,HOME_FORM_OFFSIDES_FOR,HOME_FORM_REDCARDS_FOR,HOME_FORM_GOALS_AGAINST,HOME_FORM_CORNERS_AGAINST,HOME_FORM_YELLOWCARDS_AGAINST,HOME_FORM_SHOTS_ON_TARGET_AGAINST,HOME_FORM_FOULS_AGAINST,HOME_FORM_OFFSIDES_AGAINST,HOME_FORM_REDCARDS_AGAINST,AWAY_FORM_GOALS_FOR,AWAY_FORM_CORNERS_FOR,AWAY_FORM_YELLOWCARDS_FOR,AWAY_FORM_SHOTS_ON_TARGET_FOR,AWAY_FORM_FOULS_FOR,AWAY_FORM_OFFSIDES_FOR,AWAY_FORM_REDCARDS_FOR,AWAY_FORM_GOALS_AGAINST,AWAY_FORM_CORNERS_AGAINST,AWAY_FORM_YELLOWCARDS_AGAINST,AWAY_FORM_SHOTS_ON_TARGET_AGAINST,AWAY_FORM_FOULS_AGAINST,AWAY_FORM_OFFSIDES_AGAINST,AWAY_FORM_REDCARDS_AGAINST,HOME_CFORM_GOALS_FOR,HOME_CFORM_CORNERS_FOR,HOME_CFORM_YELLOWCARDS_FOR,HOME_CFORM_SHOTS_ON_TARGET_FOR,HOME_CFORM_FOULS_FOR,HOME_CFORM_OFFSIDES_FOR,HOME_CFORM_REDCARDS_FOR,HOME_CFORM_GOALS_AGAINST,HOME_CFORM_CORNERS_AGAINST,HOME_CFORM_YELLOWCARDS_AGAINST,HOME_CFORM_SHOTS_ON_TARGET_AGAINST,HOME_CFORM_FOULS_AGAINST,HOME_CFORM_OFFSIDES_AGAINST,HOME_CFORM_REDCARDS_AGAINST,AWAY_CFORM_GOALS_FOR,AWAY_CFORM_CORNERS_FOR,AWAY_CFORM_YELLOWCARDS_FOR,AWAY_CFORM_SHOTS_ON_TARGET_FOR,AWAY_CFORM_FOULS_FOR,AWAY_CFORM_OFFSIDES_FOR,AWAY_CFORM_REDCARDS_FOR,AWAY_CFORM_GOALS_AGAINST,AWAY_CFORM_CORNERS_AGAINST,AWAY_CFORM_YELLOWCARDS_AGAINST,AWAY_CFORM_SHOTS_ON_TARGET_AGAINST,AWAY_CFORM_FOULS_AGAINST,AWAY_CFORM_OFFSIDES_AGAINST,AWAY_CFORM_REDCARDS_AGAINST,STAGE_NORMALIZED,HOME_GOALS,AWAY_GOALS,HOME_CORNERS,AWAY_CORNERS,HOME_YELLOWCARDS,AWAY_YELLOWCARDS,HOME_SHOTS_ON_TARGET,AWAY_SHOTS_ON_TARGET,HOME_FOULS,AWAY_FOULS,HOME_OFFSIDES,AWAY_OFFSIDES,HOME_REDCARDS,AWAY_REDCARDS
2017-2018_7907,1818602,2017-06-27T16-00-00_1818602,5495,7058,50198,3.0,50407,3.0,360.0,4.0,49810,5.0,358.0,4.0,50224,2.0,180.0,2.0,51150,5.0,360.0,4.0,49942,3.0,348.0,4.0,,nan,nan,nan,5,50129,3.0,180.0,2.0,49801,3.0,238.0,4.0,51068,2.0,94.0,3.0,50321,2.0,174.0,3.0,,nan,nan,nan,,nan,nan,nan,4,51126,256.0,4.0,5.0,1.0,1.0,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,1,336156,3.0,336167,1.0,72.0,1.0,62499,3.0,180.0,2.0,131568,3.0,180.0,2.0,314108,1.0,173.0,2.0,336168,1.0,125.0,2.0,,nan,nan,nan,5,447706,1.0,105.0,2.0,336159,2.0,41.0,2.0,336335,2.0,55.0,2.0,379839,2.0,165.0,2.0,,nan,nan,nan,,nan,nan,nan,4,436905,180.0,2.0,2.0,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,3.0,2.0,5.0,1.0,18.0,12.0,1.93,1.73,0.0,0.0
2017-2018_7907,1818603,2017-06-27T18-00-00_1818603,360,5561,77284,6.0,76949,6.0,360.0,4.0,143247,5.0,302.0,4.0,142788,5.0,325.0,4.0,143111,6.0,270.0,3.0,,nan,nan,nan,,nan,nan,nan,4,143260,6.0,360.0,4.0,143258,6.0,360.0,4.0,143245,6.0,354.0,4.0,143283,5.0,335.0,4.0,52273,1.0,199.0,4.0,,nan,nan,nan,5,113514,359.0,4.0,6.0,0.0,2.0,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,1,88387,3.0,87562,nan,38.0,1.0,88365,3.0,180.0,2.0,87417,3.0,90.0,1.0,87885,3.0,180.0,2.0,54698,3.0,180.0,2.0,,nan,nan,nan,5,88366,3.0,173.0,2.0,89025,2.0,150.0,2.0,88912,2.0,170.0,2.0,57541,3.0,180.0,2.0,,nan,nan,nan,,nan,nan,nan,4,87481,55.0,2.0,1.0,2.0,0.0,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,5.0,2.0,3.0,6.0,4.0,15.0,17.0,1.93,1.73,0.0,0.0
2017-2018_7907,1818606,2017-06-27T18-00-00_1818606,8655,82867,86875,5.0,86144,5.0,360.0,4.0,86403,3.0,243.0,3.0,87051,5.0,360.0,4.0,86267,5.0,360.0,4.0,,nan,nan,nan,,nan,nan,nan,4,86373,5.0,360.0,4.0,86102,3.0,268.0,3.0,86225,5.0,360.0,4.0,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,3,86793,267.0,3.0,3.0,0.0,1.0,83011,352.0,4.0,5.0,0.0,1.0,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,2,1122863,6.0,50789,1.0,38.0,1.0,1122868,6.0,180.0,2.0,1122875,5.0,147.0,2.0,1122876,6.0,180.0,2.0,,nan,nan,nan,,nan,nan,nan,4,1122865,6.0,180.0,2.0,1122884,2.0,93.0,2.0,462079,6.0,180.0,2.0,1122879,6.0,180.0,2.0,,nan,nan,nan,,nan,nan,nan,4,1122891,93.0,2.0,2.0,1.0,1.0,1122867,147.0,2.0,5.0,0.0,1.0,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,1.0,1.0,3.0,6.0,14.0,12.0,1.93,1.73,0.0,0.0
2017-2018_7907,1818605,2017-06-27T18-00-00_1818605,579,234886,209469,4.0,13276,4.0,256.0,3.0,172074,2.0,10.0,1.0,209868,4.0,360.0,4.0,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,3,4083,4.0,360.0,4.0,6189,3.0,340.0,4.0,12824,3.0,356.0,4.0,209335,1.0,217.0,3.0,,nan,nan,nan,,nan,nan,nan,4,13128,330.0,4.0,3.0,0.0,3.0,210173,347.0,4.0,4.0,0.0,2.0,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,2,337859,4.0,337867,4.0,210.0,2.0,337868,4.0,210.0,2.0,337866,4.0,195.0,2.0,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,3,187768,4.0,137.0,2.0,124894,5.0,355.0,4.0,181346,2.0,138.0,2.0,187872,3.0,156.0,2.0,27824,4.0,210.0,2.0,337875,4.0,210.0,2.0,6,1122893,148.0,2.0,4.0,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,3.0,3.0,2.0,1.0,3.0,16.0,12.0,1.93,1.73,0.0,0.0
2017-2018_7907,1818604,2017-06-28T18-45-00_1818604,260,847,120,nan,148854,6.0,360.0,4.0,148558,6.0,360.0,4.0,148251,6.0,96.0,2.0,149243,6.0,234.0,3.0,10883,6.0,360.0,4.0,148719,6.0,330.0,4.0,6,148532,6.0,360.0,4.0,147973,6.0,360.0,4.0,149574,5.0,312.0,4.0,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,3,148071,342.0,4.0,5.0,0.0,1.0,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,1,338842,1.0,336037,1.0,180.0,2.0,131388,1.0,180.0,2.0,130668,1.0,180.0,2.0,338749,1.0,180.0,2.0,,nan,nan,nan,,nan,nan,nan,4,338856,1.0,149.0,2.0,131756,1.0,180.0,2.0,5228,1.0,180.0,2.0,336237,1.0,171.0,2.0,,nan,nan,nan,,nan,nan,nan,4,532391,180.0,2.0,1.0,0.0,1.0,336291,101.0,2.0,nan,1.0,1.0,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,3.0,6.0,0.0,11.65,11.71,1.93,1.73,0.0,0.0
2017-2018_7907,1818655,2017-07-04T16-00-00_1818655,82867,8655,1122863,6.0,1122868,6.0,180.0,2.0,1122875,5.0,147.0,2.0,1122876,6.0,180.0,2.0,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,3,1122865,6.0,180.0,2.0,1122870,5.0,142.0,2.0,462079,6.0,180.0,2.0,1122879,6.0,180.0,2.0,,nan,nan,nan,,nan,nan,nan,4,45876,87.0,2.0,4.0,1.0,1.0,1122867,147.0,2.0,5.0,0.0,1.0,1122869,33.0,1.0,6.0,nan,nan,,nan,nan,nan,nan,nan,3,86875,5.0,86144,5.0,360.0,4.0,86267,5.0,360.0,4.0,86403,3.0,243.0,3.0,87051,5.0,360.0,4.0,,nan,nan,nan,,nan,nan,nan,4,86373,5.0,360.0,4.0,86225,5.0,360.0,4.0,86113,1.0,171.0,3.0,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,3,86793,267.0,3.0,3.0,0.0,1.0,83011,352.0,4.0,5.0,0.0,1.0,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,2,1.0,4.0,1.0,6.0,12.0,1.73,0.0,2.0,4.0,1.0,3.0,14.0,1.93,0.0,2.0,4.0,1.0,3.0,14.0,1.93,0.0,1.0,4.0,1.0,6.0,12.0,1.73,0.0,1.0,4.0,1.0,6.0,12.0,1.73,0.0,2.0,4.0,1.0,3.0,14.0,1.93,0.0,2.0,4.0,1.0,3.0,14.0,1.93,0.0,1.0,4.0,1.0,6.0,12.0,1.73,0.0,0.0,1.0,4.0,4.0,2.0,3.0,4.0,8.0,5.0,17.0,12.0,1.93,1.73,1.0,0.0
2017-2018_7907,1818657,2017-07-04T16-00-00_1818657,5561,360,88387,3.0,87300,3.0,142.0,2.0,88365,3.0,180.0,2.0,87885,3.0,180.0,2.0,54698,3.0,180.0,2.0,,nan,nan,nan,,nan,nan,nan,4,88366,3.0,173.0,2.0,89025,2.0,150.0,2.0,88912,2.0,170.0,2.0,50369,nan,72.0,2.0,57541,3.0,180.0,2.0,,nan,nan,nan,5,87481,55.0,2.0,1.0,2.0,0.0,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,1,77284,6.0,53637,6.0,270.0,3.0,76949,6.0,360.0,4.0,143247,5.0,302.0,4.0,142788,5.0,325.0,4.0,,nan,nan,nan,,nan,nan,nan,4,143260,6.0,360.0,4.0,143258,6.0,360.0,4.0,143245,6.0,354.0,4.0,143283,5.0,335.0,4.0,52273,1.0,199.0,4.0,,nan,nan,nan,5,113514,359.0,4.0,6.0,0.0,2.0,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,1,0.0,5.0,3.0,4.0,17.0,1.73,0.0,2.0,6.0,2.0,6.0,15.0,1.93,0.0,2.0,6.0,2.0,6.0,15.0,1.93,0.0,0.0,5.0,3.0,4.0,17.0,1.73,0.0,0.0,5.0,3.0,4.0,17.0,1.73,0.0,2.0,6.0,2.0,6.0,15.0,1.93,0.0,2.0,6.0,2.0,6.0,15.0,1.93,0.0,0.0,5.0,3.0,4.0,17.0,1.73,0.0,0.0,0.0,1.0,5.0,1.0,2.0,0.0,3.0,5.0,13.0,14.0,1.93,1.73,0.0,0.0
2017-2018_7907,1818653,2017-07-04T18-30-00_1818653,7058,5495,336156,3.0,314108,1.0,173.0,2.0,336168,1.0,125.0,2.0,131568,3.0,180.0,2.0,62499,3.0,180.0,2.0,336167,1.0,72.0,1.0,,nan,nan,nan,5,379839,2.0,165.0,2.0,65177,1.0,98.0,2.0,54353,1.0,90.0,1.0,336335,2.0,55.0,2.0,,nan,nan,nan,,nan,nan,nan,4,436905,180.0,2.0,2.0,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,1,50198,3.0,51133,4.0,90.0,1.0,51150,5.0,360.0,4.0,50224,2.0,180.0,2.0,49810,5.0,358.0,4.0,49942,3.0,348.0,4.0,,nan,nan,nan,5,50129,3.0,180.0,2.0,49801,3.0,238.0,4.0,50321,2.0,174.0,3.0,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,3,50366,116.0,2.0,3.0,1.0,2.0,51126,256.0,4.0,5.0,1.0,1.0,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,2,0.0,0.0,2.0,1.0,12.0,1.73,0.0,1.0,7.0,3.0,5.0,18.0,1.93,0.0,1.0,7.0,3.0,5.0,18.0,1.93,0.0,0.0,0.0,2.0,1.0,12.0,1.73,0.0,0.0,0.0,2.0,1.0,12.0,1.73,0.0,1.0,7.0,3.0,5.0,18.0,1.93,0.0,1.0,7.0,3.0,5.0,18.0,1.93,0.0,0.0,0.0,2.0,1.0,12.0,1.73,0.0,0.0,1.0,1.0,5.0,2.0,7.0,1.0,3.0,4.0,11.65,11.71,1.93,1.73,0.0,0.0
2017-2018_7907,1818661,2017-07-04T18-30-00_1818661,847,260,338842,1.0,336037,1.0,180.0,2.0,131388,1.0,180.0,2.0,130668,1.0,180.0,2.0,338749,1.0,180.0,2.0,338745,1.0,79.0,2.0,,nan,nan,nan,5,338856,1.0,149.0,2.0,131756,1.0,180.0,2.0,336237,1.0,171.0,2.0,5228,1.0,180.0,2.0,,nan,nan,nan,,nan,nan,nan,4,532391,180.0,2.0,1.0,0.0,1.0,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,1,15764313,6.0,148854,6.0,360.0,4.0,149371,3.0,102.0,3.0,148558,6.0,360.0,4.0,149243,6.0,234.0,3.0,10883,6.0,360.0,4.0,148719,6.0,330.0,4.0,6,148532,6.0,360.0,4.0,147973,6.0,360.0,4.0,149574,5.0,312.0,4.0,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,3,148071,342.0,4.0,5.0,0.0,1.0,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,1,0.0,1.0,3.0,0.0,11.71,1.73,0.0,1.0,5.0,1.0,6.0,11.65,1.93,0.0,1.0,5.0,1.0,6.0,11.65,1.93,0.0,0.0,1.0,3.0,0.0,11.71,1.73,0.0,0.0,1.0,3.0,0.0,11.71,1.73,0.0,1.0,5.0,1.0,6.0,11.65,1.93,0.0,1.0,5.0,1.0,6.0,11.65,1.93,0.0,0.0,1.0,3.0,0.0,11.71,1.73,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,3.0,2.0,17.0,23.0,7.0,3.0,0.0,0.0
2017-2018_7907,1818632,2017-07-11T17-00-00_1818632,5317,5489,56094,2.0,54437,2.0,360.0,4.0,54433,2.0,360.0,4.0,55619,2.0,360.0,4.0,48408,2.0,349.0,4.0,,nan,nan,nan,,nan,nan,nan,4,54787,2.0,353.0,4.0,664,2.0,360.0,4.0,55894,1.0,7.0,1.0,,nan,nan,nan,,nan,nan,nan,,nan,nan,nan,3,56939,944.0,11.0,14.0,0.0,5.0,55845,129.0,3.0,1.0,1.0,2.0,54747,60.0,4.0,2.0,4.0,0.0,,nan,nan,nan,nan,nan,3,104186,6.0,56051,6.0,180.0,2.0,103852,6.0,180.0,2.0,102530,6.0,180.0,2.0,159022,6.0,180.0,2.0,,nan,nan,nan,,nan,nan,nan,4,105913,4.0,159.0,2.0,106283,6.0,147.0,2.0,106621,6.0,180.0,2.0,105610,6.0,180.0,2.0,105770,3.0,97.0,2.0,,nan,nan,nan,5,105368,167.0,2.0,6.0,0.0,1.0,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,5.0,0.0,2.0,1.0,0.0,4.0,6.0,1.0,11.65,11.71,1.93,1.73,0.0,0.0
